RANK,COMPANY,SYMBOL,REVENUES($M),WEBSITE
472,Host Hotels & Resorts,HST,5387,www.hosthotels.com
472,Ashland,ASH,5387,www.ashland.com
474,Insight Enterprises,NSIT,5373,www.insight.com
475,Energy Future Holdings,,5370,www.energyfutureholdings.com
476,Markel,MKL,5370,www.markelcorp.com
477,Essendant,ESND,5363,www.essendant.com
478,CH2M Hill,,5362,www.ch2m.com
479,Western & Southern Financial Group,,5356,www.westernsouthern.com
480,Owens Corning,OC,5350,www.owenscorning.com
481,S&P Global,SPGI,5313,www.spglobal.com
482,Raymond James Financial,RJF,5308,www.raymondjames.com
483,NiSource,NI,5308,www.nisource.com
484,Airgas,ARG,5305,www.airgas.com
485,ABM Industries,ABM,5291,www.abm.com
486,Citizens Financial Group,CFG,5276,www.citizensbank.com
487,Booz Allen Hamilton Holding,BAH,5275,www.boozallen.com
488,Simon Property Group,SPGI,5266,www.simon.com
489,Domtar,UFS,5264,www.domtar.com
490,Rockwell Collins,COL,5262,www.rockwellcollins.com
491,Lam Research,LRCX,5259,www.lamresearch.com
492,Fiserv,FISV,5254,www.fiserv.com
493,Spectra Energy,SE,5234,www.spectraenergy.com
494,Navient,NAVI,5197,www.navient.com
495,Big Lots,BIG,5191,www.biglots.com
496,Telephone & Data Systems,TDS,5176,www.tdsinc.com
497,First American Financial,FAF,5176,www.firstam.com
498,NVR,NVR,5170,www.nvrinc.com
499,Cincinnati Financial,CINF,5142,www.cinfin.com
500,Burlington Stores,BURL,5130,www.burlingtonstores.com
